tiempo (min),3er armonico
1885.849629,-23.67698524
1887.003774,-23.64432574
1888.163408,-23.94115469
1889.310206,-23.23261057
1890.455222,-23.16024842
1891.621406,-23.21537726
1892.772284,-23.32839821
1893.920986,-23.72075593
1895.067543,-23.2820897
1896.221915,-23.61151266
1897.374887,-23.35938153
1898.531951,-23.37216344
1899.685564,-23.70996749
1900.844044,-23.66875271
1901.995687,-23.65741624
1903.153983,-23.61979989
1904.313498,-23.27246622
1905.471171,-23.12964227
1906.623038,-23.35659632
1907.776854,-22.9886322
1908.923044,-23.02385661
1910.073089,-23.34272688
1911.220701,-23.26444323
1912.372636,-23.08169211
1913.52041,-23.29310286
1914.668637,-23.14324946
1915.815721,-23.0041967
1916.968074,-23.42853457
1918.11648,-23.87690695
1919.271517,-23.57119259
1920.422388,-24.0055612
1921.573117,-23.56873127
1922.72,-24.01507677
1923.872522,-23.46038101
1925.024532,-23.37750757
1926.182094,-23.17451689
1927.333152,-23.28106784
1928.483064,-23.43860017
1929.640076,-23.3611001
1930.782562,-23.697143
1931.94203,-23.58076272
1933.093126,-23.28422735
1934.243484,-23.25716335
1935.392972,-23.14043162
1936.543381,-23.40258775
1937.698355,-23.22086669
1938.847627,-23.77702318
1940.004074,-23.71450332
1941.149014,-24.0107838
1942.300159,-23.38368751
1943.444002,-23.24886087
1944.591764,-23.35351781
1945.741152,-23.59396181
1946.899596,-23.54363789
1948.050665,-24.11815394
1949.197043,-23.2095696
1950.351502,-22.58453018
1951.50726,-23.6877825
1952.64773,-22.73623221
1953.795613,-23.46699676
1954.950641,-22.97156105
1956.098207,-22.96811502
1957.239768,-23.0382188
1958.393736,-23.00960937
1959.544059,-23.73121812
1960.703797,-23.34726631
1961.854057,-23.95897112
1963.012074,-23.1756096
1964.162984,-23.05559792
1965.320436,-23.75786495
1966.466746,-22.88588207
1967.616084,-23.6192634
1968.767699,-23.31919048
1969.912747,-23.10220793
1971.069497,-23.52617591
1972.222652,-23.5647579
1973.382792,-23.23552473
1974.534563,-22.39559385
1975.693363,-22.95735185
1976.841157,-23.34163441
1978.00316,-23.74904412
1979.154347,-22.95328154
1980.30779,-22.85596166
1981.460594,-22.73587947
1982.611165,-23.67069103
1983.756828,-22.98848026
1984.905227,-23.56109283
1986.063921,-23.50475896
1987.213862,-23.14747703
1988.372319,-23.03207908
1989.525887,-23.42116975
1990.686637,-23.17422395
1991.835668,-23.20941524
1992.990839,-23.08972219
1994.138825,-23.60348919
1995.295454,-23.09555893
1996.440803,-23.37573825
1997.589551,-23.72065398
1998.746685,-23.29274062
1999.902085,-22.9051703
2001.045881,-22.93354753
2002.188027,-23.76799704
2003.3334,-22.99991285
2004.4895,-23.08590813
2005.64212,-23.25838678
2006.801722,-22.923062
2007.945653,-22.68557304
2009.102348,-23.26190911
2010.253351,-22.86702559
2011.393179,-23.24689285
2012.545843,-23.26802187
2013.692806,-23.34618217
2014.847491,-22.88897405
2015.997851,-22.94130234
2017.148698,-23.30632965
2018.302217,-22.04835676
2019.452501,-22.99485959
2020.612215,-22.59163912
2021.7616,-22.62370652
2022.913201,-23.4717948
2024.058779,-22.92574421
2025.220036,-23.23146822
2026.37305,-22.92235034
2027.526887,-23.10835553
2028.671801,-22.78099932
2029.820672,-22.59260983
2030.97224,-22.68456404
2032.120532,-22.45894447
2033.278152,-22.75430876
2034.428334,-22.46487997
2035.583017,-22.95636646
2036.733421,-22.59647733
2037.89093,-23.1956448
2039.03483,-23.17107534
2040.180368,-22.68937924
2041.338783,-22.83429198
2042.486832,-23.14986406
2043.644059,-22.39837293
2044.794931,-23.12883887
2045.939841,-22.55216078
2047.08884,-23.03422374
2048.236875,-23.08763476
2049.390223,-23.49095191
2050.53616,-22.97919983
2051.687692,-23.20299706
2052.841102,-23.00217357
2053.990855,-23.20389286
2055.147353,-22.39442721
2056.292548,-22.2108695
2057.441532,-22.48246635
2058.593171,-22.75452095
2059.744351,-22.63767223
2060.890434,-23.00238451
2062.041891,-22.97526929
2063.204947,-22.53141362
2064.352264,-22.9335318
2065.508237,-23.10448314
2066.658365,-22.33394294
2067.819448,-22.6597374
2068.962436,-22.53363796
2070.112998,-22.18266201
2071.267144,-22.22793368
2072.418628,-22.73355688
2073.564174,-23.00615949
2074.713378,-22.88409744
2075.873245,-22.11314785
2077.023748,-23.03015306
2078.176434,-23.25569268
2079.329659,-21.92164092
2080.476152,-22.74139908
2081.623376,-22.17766923
2082.770586,-22.67806988
2083.915277,-23.00064092
2085.06154,-23.33181245
2086.217475,-22.77389664
2087.368597,-23.1386368
2088.528392,-22.33742117
2089.67185,-22.96174082
2090.827902,-22.94160367
2091.979757,-22.74287183
2093.136308,-22.46765344
2094.282294,-22.27879904
2095.435789,-22.77393741
2096.58728,-22.98602668
2097.738539,-22.28545634
2098.887379,-22.58999468
2100.033022,-22.81417586
2101.181348,-23.21912593
2102.327408,-22.96358314
2103.47727,-22.59521817
2104.628897,-23.10351219
2105.779481,-22.05659542
2106.934137,-22.36990502
2108.082743,-22.89423625
2109.230399,-22.61036476
2110.377585,-23.10606732
2111.52541,-22.14475236
2112.670806,-23.33416934
2113.821471,-22.49168544
2114.973459,-22.92415991
2116.117283,-22.56766433
2117.250249,-22.76920361
2118.392345,-23.39176511
2119.540218,-23.31021488
2120.688385,-22.62610776
2121.824542,-22.70341814
2122.950712,-22.8223903
2124.086292,-22.48256835
2125.229886,-23.30706529
2126.380548,-23.26118409
2127.53854,-22.81117782
2128.685127,-22.52821602
2129.843202,-22.80509967
2130.988539,-22.30527142
2132.139784,-23.00853274
2133.288567,-22.91505556
2134.435909,-23.12862651
2135.58087,-22.91505636
2136.726141,-22.80784824
2137.872143,-23.06409843
2139.028549,-22.87331515
2140.19233,-23.13496733
2141.347791,-23.05017879
2142.492773,-22.66376764
2143.639683,-23.42493984
2144.797272,-22.48862134
2145.949638,-22.11910565
2147.111346,-23.19211656
2148.260369,-22.75672764
2149.412211,-23.38346171
2150.562558,-23.1028603
2151.708788,-23.12701052
2152.867061,-23.15007884
2154.019479,-22.30367796
2155.164529,-22.62994311
2156.31163,-22.51402284
2157.47132,-23.09558027
2158.628223,-23.49909309
2159.774282,-22.84024445
2160.935913,-23.22388687
2162.081169,-22.50880984
2163.233824,-22.57729456
2164.386357,-22.7331462
2165.535645,-22.42295621
2166.692606,-22.83453185
2167.840457,-22.52286256
2168.985419,-22.92288877
2170.134613,-22.92469424
2171.287105,-22.94514237
2172.440203,-22.11785859
2173.596716,-22.24982365
2174.744708,-22.5842254
2175.899171,-22.32640879
2177.048864,-22.93234564
2178.204398,-22.55363927
2179.352843,-22.42488337
2180.509308,-22.82660255
2181.660266,-22.70825548
2182.813005,-22.6078038
2183.970162,-22.91790744
2185.122033,-22.63403006
2186.284396,-22.32068284
2187.44184,-23.19487986
2188.590511,-22.41975456
2189.736912,-22.6997058
2190.898386,-22.48038008
2192.054217,-23.37847855
2193.208907,-22.43581772
2194.36396,-23.03131268
2195.514281,-22.72026927
2196.661166,-22.63871877
2197.810217,-22.16056395
2198.969471,-23.2930067
2200.132543,-22.9033717
2201.284799,-22.315518
2202.442304,-22.95163834
2203.596144,-23.01306111
2204.759319,-22.42623358
2205.90997,-22.91293607
2207.067824,-22.76360515
2208.216539,-22.76462558
2209.375505,-22.51155521
2210.526735,-23.13486777
2211.622674,-23.35750048
2212.756236,-22.82654937
2213.907447,-22.70984842
2215.069021,-22.77550035
2216.216913,-23.00031744
2217.371585,-22.45894923
2218.520648,-22.7818571
2219.681713,-22.51482131
2220.833531,-23.19218348
2221.991954,-22.81730617
2223.145354,-22.56299411
2224.303333,-22.74181003
2225.450121,-22.24797134
2226.604748,-22.77965255
2227.768238,-23.43916688
2228.917942,-22.55984045
2230.065616,-22.79455162
2231.216903,-22.94590559
2232.377429,-22.68148226
2233.527315,-22.98818964
2234.677415,-22.74649212
2235.828468,-22.69225374
2236.988847,-22.32772261
2238.134487,-22.22838108
2239.284953,-23.13022232
2240.434409,-23.0324148
2241.578457,-22.39507877
2242.737467,-22.98013122
2243.89045,-22.62563112
2245.047602,-22.8466963
2246.194766,-22.92237516
2247.357458,-22.5085834
2248.50896,-22.49863654
2249.666582,-22.83242875
2250.817183,-23.00278539
2251.9723,-22.71941529
2253.124757,-22.70236351
2254.286203,-22.75094376
2255.434734,-22.86940287
2256.590761,-22.88372193
2257.744799,-22.26279456
2258.902295,-22.57715675
2260.045397,-22.94648624
2261.192838,-22.20023615
2262.339662,-21.96203612
2263.487149,-23.0286482
2264.638557,-22.65445549
2265.786004,-22.29042747
2266.945973,-22.96981256
2268.098133,-22.78073061
2269.244253,-22.79873405
2270.386596,-22.77805726
2271.546688,-22.87809127
2272.693995,-23.54724765
2273.839349,-22.91745293
